Layer,Name,GEOID,Population,ZIP,TRACT,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
Census tract,Tract 716,17031071600,1914,60614,17031071600,0.018933918,0.003441683,0.02887094,0.019271239
Census tract,Tract 717,17031071700,1670,60610,17031071700,0.000433611,0.0,0.003602676,0.000586347
Census tract,Tract 717,17031071700,1670,60614,17031071700,0.015925943,0.004206501,0.02268431,0.01609509
Census tract,Tract 718,17031071800,2613,60610,17031071800,0.0,0.00126183,0.00257334,0.000195449
Census tract,Tract 718,17031071800,2613,60614,17031071800,0.026815278,0.019502868,0.044337515,0.028429462
Census tract,Tract 718,17031071800,2613,60642,17031071800,0.0,0.004756243,0.0,0.000471698
Census tract,Tract 801,17031080100,6741,60610,17031080100,0.147056091,0.048580442,0.088522903,0.139522546
Census tract,Tract 802.01,17031080201,3160,60610,17031080201,0.087155821,0.039747634,0.05506948,0.083317046
Census tract,Tract 802.02,17031080202,3339,60610,17031080202,0.103633041,0.063722397,0.050437468,0.098980874
Census tract,Tract 803,17031080300,4911,60610,17031080300,0.137454703,0.147634069,0.240864642,0.143515287
Census tract,Tract 804,17031080400,4331,60610,17031080400,0.068882213,0.066876972,0.23365929,0.077732794
Census tract,Tract 810,17031081000,8204,60610,17031081000,0.162356366,0.135015773,0.086978899,0.157057099
Census tract,Tract 810,17031081000,8204,60654,17031081000,5.5748e-05,0.0,0.0,4.4179e-05
Census tract,Tract 811,17031081100,4200,60610,17031081100,0.087899154,0.100946372,0.041173443,0.085941645
Census tract,Tract 812.01,17031081201,4711,60610,17031081201,0.011707498,0.002523659,0.002058672,0.010777607
Census tract,Tract 812.01,17031081201,4711,60611,17031081201,0.124310093,0.153582783,0.119330077,0.127348305
Census tract,Tract 812.02,17031081202,2928,60610,17031081202,0.005884721,0.011356467,0.020072054,0.006896552
Census tract,Tract 812.02,17031081202,2928,60611,17031081202,0.066040728,0.01540719,0.089323098,0.06135284
Census tract,Tract 813,17031081300,5393,60611,17031081300,0.159455687,0.132550746,0.085833915,0.153638523
Census tract,Tract 814.01,17031081401,2224,60611,17031081401,0.073812092,0.195646857,0.078855548,0.087454114
Census tract,Tract 814.02,17031081402,5651,60611,17031081402,0.155744465,0.052335534,0.050244243,0.140250486
Census tract,Tract 814.03,17031081403,8450,60611,17031081403,0.280815835,0.230618733,0.478018144,0.282903261
Census tract,Tract 815,17031081500,4521,60611,17031081500,0.1398211,0.219858156,0.098394976,0.147052472
Census tract,Tract 815,17031081500,4521,60654,17031081500,0.008083398,0.027640156,0.005800464,0.011309918
Census tract,Tract 816,17031081600,4040,60654,17031081600,0.214628164,0.081877445,0.179814385,0.190810691
Census tract,Tract 817,17031081700,4118,60610,17031081700,0.026171524,0.166561514,0.001029336,0.031020522
Census tract,Tract 817,17031081700,4118,60654,17031081700,0.24322667,0.288917862,0.303944316,0.253280318
Census tract,Tract 818,17031081800,10298,60610,17031081800,0.020906247,0.092744479,0.024704066,0.024291498
Census tract,Tract 818,17031081800,10298,60654,17031081800,0.450886386,0.562711864,0.435034803,0.46922907
Census tract,Tract 819,17031081900,1026,60610,17031081900,0.01158361,0.007570978,0.010808029,0.011363954
Census tract,Tract 819,17031081900,1026,60654,17031081900,0.028988739,0.00208605,0.006960557,0.023591783
Census tract,Tract 901,17031090100,3509,60631,17031090100,0.109361929,0.062055591,0.059654631,0.100814026
Census tract,Tract 902,17031090200,6416,60068,17031090200,0.001052762,0.0,0.004934211,0.001196359
Census tract,Tract 902,17031090200,6416,60631,17031090200,0.22967526,0.166774402,0.4144427,0.238321853
