Layer,Name,GEOID,Population
Census tract,Tract 4111,17031411100,2330
Census tract,Tract 4112,17031411200,1689
Census tract,Tract 4201,17031420100,1548
Census tract,Tract 4202,17031420200,1713
Census tract,Tract 4203,17031420300,2768
Census tract,Tract 4204,17031420400,1142
Census tract,Tract 4205,17031420500,1735
Census tract,Tract 4206,17031420600,1894
Census tract,Tract 4207,17031420700,2674
Census tract,Tract 4208,17031420800,2377
Census tract,Tract 4212,17031421200,1126
Census tract,Tract 4301.01,17031430101,3199
Census tract,Tract 4301.02,17031430102,3120
Census tract,Tract 4302,17031430200,4863
Census tract,Tract 4303,17031430300,2450
Census tract,Tract 4304,17031430400,2765
Census tract,Tract 4305,17031430500,3481
Census tract,Tract 4306,17031430600,2168
Census tract,Tract 4307,17031430700,2682
Census tract,Tract 4308,17031430800,1957
Census tract,Tract 4309,17031430900,1481
Census tract,Tract 4312,17031431200,2696
Census tract,Tract 4313.01,17031431301,3236
Census tract,Tract 4313.02,17031431302,4329
Census tract,Tract 4314,17031431400,6924
Census tract,Tract 4401.01,17031440101,4088
Census tract,Tract 4401.02,17031440102,3473
Census tract,Tract 4402.01,17031440201,5198
Census tract,Tract 4402.02,17031440202,3012
Census tract,Tract 4403,17031440300,4706
Census tract,Tract 4406,17031440600,1786
Census tract,Tract 4407,17031440700,1469
Census tract,Tract 4408,17031440800,1820
Census tract,Tract 4409,17031440900,2333
Census tract,Tract 4503,17031450300,3733
Census tract,Tract 4601,17031460100,3523
Census tract,Tract 4602,17031460200,2468
Census tract,Tract 4603.01,17031460301,3634
Census tract,Tract 4603.02,17031460302,3322
Census tract,Tract 4604,17031460400,3311
Census tract,Tract 4605,17031460500,5889
Census tract,Tract 4606,17031460600,1200
Census tract,Tract 4607,17031460700,2651
Census tract,Tract 4610,17031461000,1288
Census tract,Tract 4701,17031470100,2006
Census tract,Tract 4801,17031480100,2175
Census tract,Tract 4802,17031480200,1146
Census tract,Tract 4803,17031480300,1109
Census tract,Tract 4804,17031480400,5446
Census tract,Tract 4805,17031480500,2939
Census tract,Tract 4903,17031490300,2302
Census tract,Tract 4904,17031490400,742
Census tract,Tract 4905,17031490500,2041
Census tract,Tract 4906,17031490600,1464
Census tract,Tract 4907,17031490700,2777
Census tract,Tract 4908,17031490800,4006
Census tract,Tract 4909.01,17031490901,3264
Census tract,Tract 4909.02,17031490902,4204
Census tract,Tract 4910,17031491000,3408
Census tract,Tract 4911,17031491100,4256
Census tract,Tract 4912,17031491200,1931
Census tract,Tract 4913,17031491300,2327
