ZIP,TRACT,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO,CDCOVC_2020,CDCOVCR_2020,CHADXHP_2020,CHADXHPR_2020,CDCOVD_2020,CDCOVDR_2020
60611,17031081403,0.280815835,0.230618733,0.478018144,0.282903261,1654,4978.3,104,313,12,36.1
60611,17031081402,0.155744465,0.052335534,0.050244243,0.140250486,1654,4978.3,104,313,12,36.1
60611,17031081201,0.124310093,0.153582783,0.119330077,0.127348305,1654,4978.3,104,313,12,36.1
60612,17031837300,0.027053555,0.013260174,0.042470156,0.028672737,2587,7668.6,355,1052.3,55,163
60612,17031838100,0.089319674,0.046181984,0.024793388,0.072885659,2587,7668.6,355,1052.3,55,163
60612,17031838600,0.03631679,0.0173754,0.045454545,0.036245841,2587,7668.6,355,1052.3,55,163
60612,17031280400,0.035703331,0.064014632,0.030073462,0.037340221,2587,7668.6,355,1052.3,55,163
60612,17031837100,0.053493651,0.061728395,0.044536272,0.05257398,2587,7668.6,355,1052.3,55,163
60612,17031837000,0.052021348,0.020118884,0.059458219,0.050385222,2587,7668.6,355,1052.3,55,163
60612,17031838200,0.044782529,0.195244627,0.045224977,0.059271581,2587,7668.6,355,1052.3,55,163
60612,17031271800,0.0188332,0.018289895,0.030532599,0.021012082,2587,7668.6,355,1052.3,55,163
60612,17031837800,0.071345316,0.167809785,0.105831038,0.087156365,2587,7668.6,355,1052.3,55,163
60612,17031837400,0.046377523,0.030178326,0.062213039,0.047846262,2587,7668.6,355,1052.3,55,163
60612,17031280800,0.086068339,0.064014632,0.040174472,0.075205743,2587,7668.6,355,1052.3,55,163
60612,17031843100,0.000429422,0.002286237,0.000688705,0.000656628,2587,7668.6,355,1052.3,55,163
60612,17031843000,0,0.001828989,0,0.000175101,2587,7668.6,355,1052.3,55,163
60612,17031836700,0.029262008,0.044352995,0.02318641,0.02954824,2587,7668.6,355,1052.3,55,163
60612,17031243000,0.059260168,0.043895748,0.070247934,0.059884434,2587,7668.6,355,1052.3,55,163
60612,17031271300,0,0.000914495,0.000229568,0.000131326,2587,7668.6,355,1052.3,55,163
60612,17031833000,0.003680756,0,0.004591368,0.003502014,2587,7668.6,355,1052.3,55,163
60612,17031242900,0.050303662,0.050754458,0.05486685,0.05121695,2587,7668.6,355,1052.3,55,163
60612,17031271200,0.027053555,0.020576132,0.033746556,0.027709683,2587,7668.6,355,1052.3,55,163
60612,17031280900,0.028587203,0.004572474,0.01584022,0.023857468,2587,7668.6,355,1052.3,55,163
60612,17031282800,0.04024293,0.032007316,0.055785124,0.04241814,2587,7668.6,355,1052.3,55,163
60612,17031282700,0.063247654,0.021033379,0.101928375,0.066582035,2587,7668.6,355,1052.3,55,163
60612,17031836900,0.015397828,0.004115226,0.017676768,0.014752233,2587,7668.6,355,1052.3,55,163
60612,17031242800,0.033985645,0.030635574,0.023645546,0.031693224,2587,7668.6,355,1052.3,55,163
60612,17031838000,0.086743145,0.038866027,0.066345271,0.078270005,2587,7668.6,355,1052.3,55,163
60612,17031843300,6.13E-05,0.001371742,0.000229568,0.000218876,2587,7668.6,355,1052.3,55,163
60612,17031836800,0.000429422,0.004572474,0.000229568,0.000787953,2587,7668.6,355,1052.3,55,163
60613,17031831900,0.004045282,0.001523616,0.007389163,0.004518292,2733,5384.1,232,457,41,80.8
60613,17031830700,0.030857035,0.011681056,0.021620142,0.028300053,2733,5384.1,232,457,41,80.8
60613,17031031400,0.115996112,0.029456577,0.044061303,0.099086625,2733,5384.1,232,457,41,80.8
60613,17031060900,0.125591897,0.054850178,0.05500821,0.10967789,2733,5384.1,232,457,41,80.8
60613,17031061000,0.040891844,0.039106145,0.057334428,0.043725404,2733,5384.1,232,457,41,80.8
60613,17031060400,0.05506601,0.051802946,0.086480569,0.06048681,2733,5384.1,232,457,41,80.8
60613,17031832000,0.007902411,0.013204672,0.007936508,0.008162075,2733,5384.1,232,457,41,80.8
60613,17031060200,0.037160149,0.136617572,0.046661193,0.043603945,2733,5384.1,232,457,41,80.8
60613,17031060800,0.115588447,0.023869985,0.12014231,0.112009911,2733,5384.1,232,457,41,80.8
60613,17031061200,0.02790931,0.025901473,0.052271483,0.032138172,2733,5384.1,232,457,41,80.8
60613,17031060100,0.041174073,0.024377857,0.07074439,0.045620172,2733,5384.1,232,457,41,80.8
60613,17031060500,0.035623569,0.089385475,0.022714833,0.035903415,2733,5384.1,232,457,41,80.8
60613,17031031700,0.001944244,0,0.003831418,0.00218627,2733,5384.1,232,457,41,80.8
60613,17031061500,0.005456427,0.001015744,0.008210181,0.005732886,2733,5384.1,232,457,41,80.8
60613,17031832100,0.067797673,0.058913154,0.070470717,0.067847253,2733,5384.1,232,457,41,80.8
60613,17031060300,0.040954561,0.089893347,0.051724138,0.04520721,2733,5384.1,232,457,41,80.8
60613,17031061800,0.001912885,0.001523616,0.004652436,0.002380605,2733,5384.1,232,457,41,80.8
60613,17031050700,0.002696855,0.002031488,0.00410509,0.002915027,2733,5384.1,232,457,41,80.8
60613,17031830800,0.001442504,0.01523616,0.005747126,0.002866443,2733,5384.1,232,457,41,80.8
60613,17031031900,0.001912885,0.009649568,0.003284072,0.002526357,2733,5384.1,232,457,41,80.8
60613,17031050600,0.031860516,0.071609954,0.037493158,0.034761697,2733,5384.1,232,457,41,80.8
60613,17031050100,0.032424974,0.130015236,0.050492611,0.040300248,2733,5384.1,232,457,41,80.8
60613,17031031502,0.005832732,0.006602336,0.003420909,0.005441384,2733,5384.1,232,457,41,80.8
60613,17031032100,0.145473361,0.081259523,0.119458128,0.137783608,2733,5384.1,232,457,41,80.8
60613,17031061100,0.022484242,0.030472321,0.044745484,0.026818248,2733,5384.1,232,457,41,80.8
60614,17031062700,0.001958681,0.000764818,0.000687403,0.001753702,3982,5534.1,297,412.8,88,122.3
60614,17031070102,0.047987688,0.065391969,0.025262073,0.04629774,3982,5534.1,297,412.8,88,122.3
60614,17031070101,0.071585133,0.029063098,0.020106548,0.06358145,3982,5534.1,297,412.8,88,122.3
60614,17031070300,0.094879448,0.147992352,0.094002406,0.09748636,3982,5534.1,297,412.8,88,122.3
60614,17031071500,0.099986009,0.048183556,0.056023372,0.092361652,3982,5534.1,297,412.8,88,122.3
60614,17031071400,0.096441729,0.042447419,0.037979034,0.087061574,3982,5534.1,297,412.8,88,122.3
60614,17031832600,0.047801147,0.099426386,0.068224781,0.052747467,3982,5534.1,297,412.8,88,122.3
60614,17031832500,0.040549363,0.100573614,0.046227874,0.044251754,3982,5534.1,297,412.8,88,122.3
60614,17031062600,0.002075269,0.002676864,0.006358481,0.002591582,3982,5534.1,297,412.8,88,122.3
60614,17031071000,0.028354241,0.032122371,0.054133013,0.031469213,3982,5534.1,297,412.8,88,122.3
60614,17031063000,0.002728163,0.008413002,0.00618663,0.003409977,3982,5534.1,297,412.8,88,122.3
60614,17031063400,0.002378399,0.003824092,0.000515553,0.002240842,3982,5534.1,297,412.8,88,122.3
60614,17031063303,0,0,0.000171851,1.95E-05,3982,5534.1,297,412.8,88,122.3
60614,17031071700,0.015925943,0.004206501,0.02268431,0.01609509,3982,5534.1,297,412.8,88,122.3
60614,17031070500,0.034999767,0.014531549,0.052930057,0.035989867,3982,5534.1,297,412.8,88,122.3
60614,17031071600,0.018933918,0.003441683,0.02887094,0.019271239,3982,5534.1,297,412.8,88,122.3
60614,17031832300,0.012638157,0.042447419,0.02268431,0.015296181,3982,5534.1,297,412.8,88,122.3
60614,17031070200,0.064566525,0.061567878,0.067881079,0.064789556,3982,5534.1,297,412.8,88,122.3
60614,17031070400,0.038823859,0.029827916,0.05361746,0.040042868,3982,5534.1,297,412.8,88,122.3
60614,17031062800,0.002075269,0.000764818,0.006874033,0.002552611,3982,5534.1,297,412.8,88,122.3
60614,17031071200,0.0390104,0.055449331,0.040556797,0.040023383,3982,5534.1,297,412.8,88,122.3
60614,17031063302,0.007205149,0.004206501,0.002921464,0.006566641,3982,5534.1,297,412.8,88,122.3
60614,17031070700,0.036165648,0.045124283,0.040384946,0.037100546,3982,5534.1,297,412.8,88,122.3
60614,17031062900,0.002191857,0.00917782,0.003780718,0.002727981,3982,5534.1,297,412.8,88,122.3
60614,17031070103,0.033577391,0.015678776,0.015294724,0.030592362,3982,5534.1,297,412.8,88,122.3
60614,17031071300,0.052394721,0.022179732,0.068224781,0.052650039,3982,5534.1,297,412.8,88,122.3
60614,17031071800,0.026815278,0.019502868,0.044337515,0.028429462,3982,5534.1,297,412.8,88,122.3
60614,17031063301,0.003894045,0.011089866,0.003093315,0.004169914,3982,5534.1,297,412.8,88,122.3
60614,17031070600,0.036328872,0.027151052,0.049321189,0.037334373,3982,5534.1,297,412.8,88,122.3
60614,17031071100,0.034789908,0.052390057,0.053101908,0.037763055,3982,5534.1,297,412.8,88,122.3
60614,17031051300,0.002938022,0.000382409,0.007561437,0.003332034,3982,5534.1,297,412.8,88,122.3
60615,17031836200,0.000456187,0,0,0.000367861,1667,4106.9,218,537.1,31,76.4
60615,17031410700,0.049154153,0.059090909,0.067292945,0.052389565,1667,4106.9,218,537.1,31,76.4
60615,17031836300,0.026078692,0.004545455,0.056940184,0.030287238,1667,4106.9,218,537.1,31,76.4
60615,17031836100,0.033377685,0.047272727,0.061733129,0.038380185,1667,4106.9,218,537.1,31,76.4
60615,17031835800,0.002318951,0.000909091,0.002492331,0.002299132,1667,4106.9,218,537.1,31,76.4
60615,17031390400,0.066071089,0.027272727,0.064417178,0.064498329,1667,4106.9,218,537.1,31,76.4
60615,17031390700,0.227979472,0.03,0.026265337,0.189049998,1667,4106.9,218,537.1,31,76.4
60615,17031410100,0.064550466,0.049090909,0.02434816,0.057600932,1667,4106.9,218,537.1,31,76.4
60615,17031390500,0.027447253,0.004545455,0.036042945,0.028049416,1667,4106.9,218,537.1,31,76.4
60615,17031400300,0.026154723,0.034545455,0.057898773,0.031513442,1667,4106.9,218,537.1,31,76.4
60615,17031410600,0.038547805,0.036363636,0.051955521,0.040618007,1667,4106.9,218,537.1,31,76.4
60615,17031410900,0.088690363,0.083636364,0.078220859,0.086845897,1667,4106.9,218,537.1,31,76.4
60615,17031381200,0.032807451,0.010909091,0.040069018,0.033230128,1667,4106.9,218,537.1,31,76.4
60615,17031411100,0.005474244,0.027272727,0.001342025,0.005548573,1667,4106.9,218,537.1,31,76.4
60615,17031410500,0.056605208,0.010909091,0.079754601,0.058765826,1667,4106.9,218,537.1,31,76.4
60615,17031410800,0.069454476,0.439090909,0.050996933,0.078967536,1667,4106.9,218,537.1,31,76.4
60615,17031843600,0.036989166,0.016363636,0.083780675,0.043775482,1667,4106.9,218,537.1,31,76.4
60615,17031390600,0.032959513,0.007272727,0.036618098,0.032678336,1667,4106.9,218,537.1,31,76.4
60615,17031411200,0.001102452,0,0,0.000888998,1667,4106.9,218,537.1,31,76.4
60615,17031381400,0.029918266,0.018181818,0.069976994,0.035927777,1667,4106.9,218,537.1,31,76.4
60615,17031381900,0.017943357,0.009090909,0.027223926,0.019128782,1667,4106.9,218,537.1,31,76.4
60615,17031411000,0.006310587,0.028181818,0.008819018,0.007449189,1667,4106.9,218,537.1,31,76.4
60615,17031381800,0.029994298,0.052727273,0.054447853,0.034670918,1667,4106.9,218,537.1,31,76.4
60615,17031410200,0.029614142,0.002727273,0.019363497,0.027068453,1667,4106.9,218,537.1,31,76.4
60616,17031351500,0.00088463,0.001395349,0.000794281,0.000912007,2770,5111,380,701.1,84,155
60616,17031839900,0.000147438,0.004651163,0.001588562,0.000566073,2770,5111,380,701.1,84,155
60616,17031351400,0,0.000465116,0.000397141,6.29E-05,2770,5111,380,701.1,84,155
60616,17031330200,0.03730188,0.013488372,0.017871326,0.034153091,2770,5111,380,701.1,84,155
60616,17031839800,0.033615923,0.013953488,0.078236696,0.035819863,2770,5111,380,701.1,84,155
60616,17031840200,0.003685957,0.008372093,0.007545671,0.004308447,2770,5111,380,701.1,84,155
60616,17031842000,0.027312938,0.071162791,0.049642573,0.032046041,2770,5111,380,701.1,84,155
60616,17031841100,0.147622558,0.257674419,0.18943606,0.158374741,2770,5111,380,701.1,84,155
60616,17031340300,0.02204202,0.007906977,0.026608419,0.02144789,2770,5111,380,701.1,84,155
60616,17031841900,0.001290085,0.002790698,0.003971406,0.001603874,2770,5111,380,701.1,84,155
60616,17031340600,0,0.000465116,0,3.14E-05,2770,5111,380,701.1,84,155
60616,17031839700,0.007224475,0.008837209,0.017474186,0.008145166,2770,5111,380,701.1,84,155
60616,17031600400,0.03984519,0.020930233,0.073471009,0.041229008,2770,5111,380,701.1,84,155
60616,17031839600,3.69E-05,0.004651163,0,0.000345934,2770,5111,380,701.1,84,155
60616,17031840100,0.031551788,0.024651163,0.044082605,0.032077489,2770,5111,380,701.1,84,155
60616,17031843200,0.004423148,0.082790698,0.025019857,0.011352915,2770,5111,380,701.1,84,155
60616,17031340400,0.022816071,0.033023256,0.061556791,0.026573998,2770,5111,380,701.1,84,155
60616,17031840000,0.023295245,0.02,0.034551231,0.023963771,2770,5111,380,701.1,84,155
60616,17031839200,0.067416144,0.058604651,0.059571088,0.066199132,2770,5111,380,701.1,84,155
60616,17031839500,0.031699226,0.02372093,0.028196982,0.030882445,2770,5111,380,701.1,84,155
60616,17031330100,0.246774788,0.193488372,0.113185068,0.232593245,2770,5111,380,701.1,84,155
60616,17031350400,0.027202359,0.006046512,0.014694202,0.024781433,2770,5111,380,701.1,84,155
